Refererence set,Term,Preferred Term,Concept Id
Intervensjoner,Promotion of walking using mobility aid (procedure),fremjing av gonge ved bruk av hjelpemiddel,710120003
Intervensjoner,Mental health assessment (procedure),vurdering av psykisk helse,391281002
Intervensjoner,Elimination care management (procedure),handtera eliminasjon,17221000202104
Intervensjoner,Protection of religious belief (procedure),beskyttelse av religiøs tro,710080003
Intervensjoner,Assessment of compliance with safety precautions (procedure),vurdering av etterleving av tryggleikstiltak,410125000
Intervensjoner,Identification of preoperative tissue perfusion (procedure),avklaring av preoperativ vevsperfusjon,710778004
Intervensjoner,Antenatal education (procedure),undervisning om svangerskap,135892000
Intervensjoner,Screening procedure (procedure),undersøking,20135006
Intervensjoner,Management of prevention of harmful pattern of alcohol use (procedure),håndtering av forebygging av alkoholmisbruk,408948002
Intervensjoner,Assessment of expectations (procedure),vurdering av forventningar,710850009
Intervensjoner,Assessment of sucking reflex (procedure),vurdering av sugerefleks,68111000202100
Intervensjoner,Assessment of dietary compliance (procedure),vurdering av etterleving av kostråd,410113003
Intervensjoner,Promotion of positive relationship (procedure),fremming av positiv relasjon,710155001
Intervensjoner,Initiation of breastfeeding (regime/therapy),ammestart,431868002
Intervensjoner,Bathing patient in shower (procedure),dusjing,20565007
Intervensjoner,Reinforcement of musculoskeletal exercise technique (procedure),forsterkning av treningsteknikk for muskel og ledd,1156891004
Intervensjoner,Oxygen therapy education (procedure),opplæring i oksygenbehandling,410203003
Intervensjoner,Assessment of inhalation technique (procedure),vurdering av inhalasjonsteknikk,710957008
Intervensjoner,Preparation of family for childbirth (situation),førebu familie før barnefødsel,1172582009
Intervensjoner,Promotion of caregiver role (procedure),fremming av omsorgsgiverrolle,710142002
Intervensjoner,Bowel incontinence care (regime/therapy),behandling av avføringsinkontinens,386223004
Intervensjoner,Management of administration of blood product (procedure),handtering av administrasjon av blodprodukt,710953007
Intervensjoner,Stoma assessment (regime/therapy),vurdering av stomi,225192007
Intervensjoner,Assessment of side effects of medication (procedure),vurdering av lækjemiddelbiverknader,1177155004
Intervensjoner,Blood pressure taking (procedure),blodtrykksmåling,46973005
Intervensjoner,Counseling about coping strategies (procedure),rettleiing om meistringsstrategiar,243067002
Intervensjoner,Nutritional monitoring (regime/therapy),ernæringsovervaking,386374005
Intervensjoner,Motivation therapy (procedure),motivasjonsterapi,228583003
Intervensjoner,Eye care education (procedure),undervisning om augestell,385906007
Intervensjoner,Use of supportive positioning (procedure),støttande leiring,710961002
Intervensjoner,Education about rights as patient (procedure),undervisning om pasientrettar,722442003
Intervensjoner,Monitoring of jugular venous distention (regime/therapy),observasjon av halsvenestuving,338071000202102
Intervensjoner,Promotion of effective family communication (procedure),fremjing av tilfredsstillande kommunikasjon med pårørande,710146004
Intervensjoner,Examination of wound fluid (procedure),undersøkelse av sårvæske,497621000202106
Intervensjoner,Administration of drug or medicament via vaginal route (procedure),vaginal administrasjon av legemiddel,386363001
Intervensjoner,Identification of barriers to communication (regime/therapy),identifisering av kommunikasjonshinder,372035004
Intervensjoner,Assessment of oral hygiene pattern (procedure),vurdering av rutine for munnhygiene,711048009
Intervensjoner,Morning and evening plan follow-up (procedure),oppfølging av dags- og kveldsplan,347661000202104
Intervensjoner,Administration of prophylactic treatment (procedure),administrasjon av profylaktisk behandling,710170000
Intervensjoner,Assessment of umbilical region (procedure),vurdering av umbilikalområde,68301000202100
Intervensjoner,Assessment of attitude toward disease (procedure),vurdering av haldning til sjukdom,710833007
Intervensjoner,Assistance with walking using device (procedure),bistand til å gå med bruk av hjelpemiddel,710804006
Intervensjoner,Diet education (procedure),kostholdsundervisning,11816003
Intervensjoner,Violence prevention (procedure),voldsforebygging,385894001
Intervensjoner,Assessment of readiness to learn (procedure),vurdering av om pasient er klar til å læra,370781003
Intervensjoner,Dietary regime management (procedure),håndtering av kosthold,410175003
Intervensjoner,Observation of pain (regime/therapy),observasjon av smerte,14971000202102
Intervensjoner,Promotion of hygiene (procedure),fremjing av hygiene,710150006
Mål,Demonstrates knowledge of parenting (finding),viser kunnskap om foreldreskap,1141694001
Mål,Housing adequate (finding),tilfredsstillande buforhold,161036002
Mål,Seizure free (finding),ingen anfall,370994008
Mål,Adequate respiratory status (finding),tilfredsstillende respiratorisk status,14751000202106
Mål,Normal sense of identity (finding),normal identitetskjensle,280948003
Mål,Caregiver able to cope (situation),omsorgsgjevar i stand til meistring,1345133004
Mål,Adequate mucus membrane (finding),tilfredsstillande slimhinne,497541000202101
Mål,Adequate wound healing (finding),tilfredsstillende sårtilheling,9501000202103
Mål,Demonstrates knowledge of fetal development (finding),viser kunnskap om fosterutvikling,1141690005
Mål,Normal tissue perfusion (finding),normal vevsperfusjon,1137685003
